1,1,1,0,0,1,1,30,1,3,2,0
2,1,1,1,30,1,3,0,1,3,2,0
3,1,1,3,0,1,4,30,1,3,2,0
4,1,1,4,30,1,6,0,1,3,2,0
5,1,1,6,0,1,7,30,1,3,2,0
6,1,1,7,30,1,9,0,1,3,2,0
7,1,1,9,0,1,10,30,1,3,2,0
8,1,1,10,30,1,12,0,1,3,2,0
9,1,1,12,0,1,13,30,1,4,2,0
10,1,1,13,30,1,15,0,1,4,2,0
11,1,1,15,0,1,16,30,1,4,2,0
12,1,1,16,30,1,18,0,1,4,2,0
13,1,1,18,0,1,19,30,1,4,2,0
14,1,1,19,30,1,21,0,1,4,2,0
15,1,1,21,0,1,22,30,1,4,2,0
16,1,1,22,30,1,24,0,1,4,2,0
17,1,1,6,0,1,7,30,1,1,2,0
18,1,1,8,30,1,10,0,1,1,2,0
19,2,2,0,0,2,1,30,1,3,2,0
20,2,2,1,30,2,3,0,1,3,2,0
21,2,2,3,0,2,4,30,1,3,2,0
22,2,2,4,30,2,6,0,1,3,2,0
23,2,2,6,0,2,7,30,1,3,2,0
24,2,2,7,30,2,9,0,1,3,2,0
25,2,2,9,0,2,10,30,1,3,2,0
26,2,2,10,30,2,12,0,1,3,2,0
27,2,2,12,0,2,13,30,1,4,2,0
28,2,2,13,30,2,15,0,1,4,2,0
29,2,2,15,0,2,16,30,1,4,2,0
30,2,2,16,30,2,18,0,1,4,2,0
31,2,2,18,0,2,19,30,1,4,2,0
32,2,2,19,30,2,21,0,1,4,2,0
33,2,2,21,0,2,22,30,1,4,2,0
34,2,2,22,30,2,24,0,1,4,2,0
35,2,2,6,0,2,7,30,1,0,2,0
36,2,2,8,30,2,10,0,1,0,2,0
37,3,3,0,0,3,1,30,1,3,2,0
38,3,3,1,30,3,3,0,1,3,2,0
39,3,3,3,0,3,4,30,1,3,2,0
40,3,3,4,30,3,6,0,1,3,2,0
41,3,3,6,0,3,7,30,1,3,2,0
42,3,3,7,30,3,9,0,1,3,2,0
43,3,3,9,0,3,10,30,1,3,2,0
44,3,3,10,30,3,12,0,1,3,2,0
45,3,3,12,0,3,13,30,1,4,2,0
46,3,3,13,30,3,15,0,1,4,2,0
47,3,3,15,0,3,16,30,1,4,2,0
48,3,3,16,30,3,18,0,1,4,2,0
49,3,3,18,0,3,19,30,1,4,2,0
50,3,3,19,30,3,21,0,1,4,2,0
51,3,3,21,0,3,22,30,1,4,2,0
52,3,3,22,30,3,24,0,1,4,2,0
53,3,3,6,0,3,7,30,1,1,2,0
54,3,3,8,30,3,10,0,1,1,2,0
55,4,4,0,0,4,1,30,1,3,2,0
56,4,4,1,30,4,3,0,1,3,2,0
57,4,4,3,0,4,4,30,1,3,2,0
58,4,4,4,30,4,6,0,1,3,2,0
59,4,4,6,0,4,7,30,1,3,2,0
60,4,4,7,30,4,9,0,1,3,2,0
61,4,4,9,0,4,10,30,1,3,2,0
62,4,4,10,30,4,12,0,1,3,2,0
63,4,4,12,0,4,13,30,1,4,2,0
64,4,4,13,30,4,15,0,1,4,2,0
65,4,4,15,0,4,16,30,1,4,2,0
66,4,4,16,30,4,18,0,1,4,2,0
67,4,4,18,0,4,19,30,1,4,2,0
68,4,4,19,30,4,21,0,1,4,2,0
69,4,4,21,0,4,22,30,1,4,2,0
70,4,4,22,30,4,24,0,1,4,2,0
71,4,4,6,0,4,7,30,1,0,2,0
72,4,4,8,30,4,10,0,1,0,2,0
73,5,5,0,0,5,1,30,1,3,2,0
74,5,5,1,30,5,3,0,1,3,2,0
75,5,5,3,0,5,4,30,1,3,2,0
76,5,5,4,30,5,6,0,1,3,2,0
77,5,5,6,0,5,7,30,1,3,2,0
78,5,5,7,30,5,9,0,1,3,2,0
79,5,5,9,0,5,10,30,1,3,2,0
80,5,5,10,30,5,12,0,1,3,2,0
81,5,5,12,0,5,13,30,1,4,2,0
82,5,5,13,30,5,15,0,1,4,2,0
83,5,5,15,0,5,16,30,1,4,2,0
84,5,5,16,30,5,18,0,1,4,2,0
85,5,5,18,0,5,19,30,1,4,2,0
86,5,5,19,30,5,21,0,1,4,2,0
87,5,5,21,0,5,22,30,1,4,2,0
88,5,5,22,30,5,24,0,1,4,2,0
89,5,5,6,0,5,7,30,1,1,2,0
90,5,5,8,30,5,10,0,1,1,2,0
91,6,6,0,0,6,1,30,1,3,2,0
92,6,6,1,30,6,3,0,1,3,2,0
93,6,6,3,0,6,4,30,1,3,2,0
94,6,6,4,30,6,6,0,1,3,2,0
95,6,6,6,0,6,7,30,1,3,2,0
